City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,74.73,-23.1203,-134.9692,Chez Bianca & Benoit
2,Bontang,ID,74.32,0.1333,117.5,Hotel Sederhana
3,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
7,Maragogi,BR,78.24,-9.0122,-35.2225,Pousada Mariluz
10,Anloga,GH,80.89,5.7947,0.8973,Hotel de White House
14,Kapaa,US,80.92,22.0752,-159.319,Pono Kai Resort
19,Cidreira,BR,72.12,-30.1811,-50.2056,Hotel Castelo
31,Matadi,CD,77.22,-5.8167,13.45,Hôtel Métroplole
34,Namatanai,PG,82.26,-3.6667,152.4333,Namatanai Hotel
38,Sao Filipe,CV,74.43,14.8961,-24.4956,Bela Vista
41,Oussouye,SN,77.18,12.485,-16.5469,Campement Alulum
42,Plaine Magnien,MU,73.4,-20.4286,57.6531,Secret Escape
44,Hithadhoo,MV,80.78,-0.6,73.0833,Pebbles Inn
45,Novo Aripuana,BR,76.91,-5.1206,-60.3797,Hotel Novo Aripuanã
47,Atuona,PF,78.1,-9.8,-139.0333,Pearl Resort
49,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
54,Pisco,PE,73.45,-13.7,-76.2167,La Portada
60,Mareeba,AU,74.12,-17.0,145.4333,The Gateway Hotel
67,Santa Rosa,PH,80.58,14.3122,121.1114,JARS RESORT
68,Cabo San Lucas,MX,85.6,22.8909,-109.9124,Comfort Rooms
73,Praia,CV,73.94,14.9215,-23.5087,Casa Sodadi
75,Georgetown,MY,79.23,5.4112,100.3354,Page 63 hostel
76,Hilo,US,84.27,19.7297,-155.09,Dolphin Bay Hotel
77,Meulaboh,ID,74.7,4.1363,96.1285,Hotel Meuligou
79,Sur,OM,73.56,22.5667,59.5289,Sur Hotel
83,Vaini,TO,84.36,-21.2,-175.2,Keleti International Resort
85,Faanui,PF,80.47,-16.4833,-151.75,Oa Oa Lodge
88,Saint-Philippe,RE,72.99,-21.3585,55.7679,Le Baril
92,Tutoia,BR,80.13,-2.7619,-42.2744,Pousada San Vicente
93,Namibe,AO,70.12,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Mahebourg,MU,74.25,-20.4081,57.7,Grand Bel Air
95,Miri,MY,73.54,4.4148,114.0089,Kenyalang Suites Miri
96,Puerto Ayora,EC,78.76,-0.7393,-90.3518,Hostal La Mirada De Solitario George
101,Souillac,MU,73.78,-20.5167,57.5167,Hotel SkylineInn
106,Ghanzi,BW,77.16,-21.5667,21.7833,Ghanzi farmhouse
109,Lorengau,PG,82.45,-2.0226,147.2712,Seeadler Bay Hotel
111,Conde,BR,80.06,-7.2597,-34.9075,Paladino
124,Pangani,TZ,75.61,-5.4333,38.9667,Not in use
126,Bengkulu,ID,74.66,-3.8004,102.2655,Dena Hotel
135,Tam Ky,VN,74.75,15.5667,108.4833,Mường Thanh Quảng Nam
141,Mapastepec,MX,84.56,15.4333,-92.9,Hotel San Diego
144,Palu,ID,74.19,-0.8917,119.8707,Ujung Pandang Hotel
150,Kavieng,PG,83.01,-2.5744,150.7967,Kavieng Hotel
170,Marsh Harbour,BS,76.6,26.5412,-77.0636,Lofty Fig Villas
171,Kendari,ID,74.37,-3.945,122.4989,Hotel Agung
182,Moanda,GA,73.42,-1.5575,13.2178,Matsissa
183,Eyl,SO,78.33,7.9803,49.8164,فندق ايل دابي
188,Karratha,AU,81.86,-20.7377,116.8463,Karratha International Hotel
189,Cradock,ZA,72.66,-32.1642,25.6192,Die Tuishuise and Victoria Manor
190,Timbiqui,CO,75.49,2.7717,-77.6654,Hotel de Río Timbiqui
191,Vao,NC,78.75,-22.6667,167.4833,Nataiwatch
195,Saint-Pierre,RE,78.57,-21.3393,55.4781,Tropic Hotel
196,Yulara,AU,77.13,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
197,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
204,Acapulco,MX,83.97,16.8634,-99.8901,Hotel del Valle
207,Ouesso,CG,70.16,1.6136,16.0517,Auberge Nianina
213,Oistins,BB,80.69,13.0667,-59.5333,The Abidah By Accra
215,Manokwari,ID,78.35,-0.8667,134.0833,Hotel Arfak
216,Cairns,AU,78.75,-16.9167,145.7667,Cairns Queens Court Accommodation
221,Sao Jose Da Coroa Grande,BR,78.46,-8.8978,-35.1478,Hotel do Sol
223,Kathu,TH,84.74,7.9178,98.3332,Tinidee Hotel
226,Waingapu,ID,78.48,-9.6567,120.2641,HOTEL SANDLEWOOD
232,Upington,ZA,86.38,-28.4478,21.2561,Die Eiland Holiday Ressort
234,Dakar,SN,77.13,14.6937,-17.4441,翁记小吃
237,Ternate,ID,79.74,0.8,127.4,Boulivard ternate
238,Inhambane,MZ,72.52,-23.865,35.3833,Hotel de Inhambane
239,Diego De Almagro,CL,71.65,-26.3667,-70.05,Residencial Hambyll
245,Richards Bay,ZA,70.63,-28.783,32.0377,Protea Hotel
257,Torres,BR,72.23,-29.3353,-49.7269,Residencial Medusa
260,Vallenar,CL,75.61,-28.5708,-70.7581,Hotel del Marqués
266,Porto Novo,BJ,82.22,6.4965,2.6036,Hôtel 6500 CFA
268,Celestun,MX,82.26,20.8667,-90.4,Hotel Flamingo Playa
275,San Rafael,AR,81.84,-34.6177,-68.3301,Hotel Regional
276,Chuy,UY,73.45,-33.6971,-53.4616,Alerces
287,Soyo,AO,79.25,-6.1349,12.3689,Hotel Maria Teres
288,Mount Isa,AU,78.57,-20.7333,139.5,Ibis Styles
298,Sabang,ID,81.21,5.8933,95.3214,Sabang Hill
301,Iquitos,PE,87.08,-3.7481,-73.2472,Marfil del Amazonas
303,Huarmey,PE,71.01,-10.0681,-78.1522,Hostal Santa Rosa
304,Itacare,BR,76.82,-14.2775,-38.9967,Pousada Raisis
305,Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
314,Moerai,PF,76.78,-22.4333,-151.3333,Manotel Rurutu
315,Vila Velha,BR,73.94,-20.3297,-40.2925,Hotel Prainha
316,Bourail,NC,86.65,-21.5667,165.4833,Hôtel Restaurant La Néra
319,Caravelas,BR,75.2,-17.7125,-39.2481,Pousada dos Navegantes
328,Honiara,SB,80.89,-9.4333,159.95,King Solomon Hotel
331,Kankon,IN,75.09,15.0167,74.0167,Dreamcatcher
333,Kloulklubed,PW,82.54,7.0419,134.2556,The Adventures Inn
334,Sarh,TD,83.61,9.1429,18.3923,فندق سفاري
335,Manta,EC,74.98,-0.95,-80.7333,La Gaviota
342,Bairiki,KI,81.64,1.3292,172.9752,Marry's Motel
345,Mitsamiouli,KM,78.39,-11.3847,43.2844,Hotel le Paradis
350,Lhokseumawe,ID,74.61,5.1801,97.1507,Vina Vira Hotel
360,Rafaela,AR,82.0,-31.2503,-61.4867,Toscano
362,Manzanillo,CU,84.15,20.3433,-77.1167,Hotel Venus
364,Gombong,ID,76.98,-7.6072,109.5142,Permata Hotel
368,Pak Phanang,TH,78.57,8.3511,100.202,Pak Phanang Hotel
371,Sao Joao Da Barra,BR,75.24,-21.6403,-41.0511,Pousada Mediterrâneo
377,Salalah,OM,73.58,17.0151,54.0924,Muscat International Hotel
378,Quatre Cocos,MU,74.08,-20.2078,57.7625,Horisun
392,Acajutla,SV,84.74,13.5928,-89.8275,Hotel Lara
395,Moa,CU,78.98,20.6569,-74.9403,Hotel Miraflores
402,Ratnagiri,IN,72.9,16.9833,73.3,Vihar
403,Ambulu,ID,76.17,-8.345,113.6058,Hotel Ambulu
406,Tamandare,BR,78.46,-8.7597,-35.1047,Pousada Baia dos Corais
407,Axim,GH,79.09,4.8699,-2.2405,Axim Beach Hotel
408,Laem Sing,TH,79.02,12.4816,102.0738,The Pride Hotel
414,Mogadishu,SO,79.86,2.0371,45.3438,SYL Hotel
417,Capao Da Canoa,BR,72.41,-29.7456,-50.0097,Hotel Serramar
424,Bac Lieu,VN,78.22,9.285,105.7244,Khách sạn Bạc Liêu
425,Itarema,BR,80.11,-2.9248,-39.9167,Pousada Oásis
429,Vanimo,PG,79.2,-2.6741,141.3028,CBC Guesthouse
436,Mana,GF,78.3,5.6592,-53.7767,Le Samana
440,Padang,ID,75.2,-0.9492,100.3543,losmen Surya
450,Sokolo,ML,82.17,14.7328,-6.1219,Mairie de la Commune de Sokolo
452,Odweyne,SO,71.22,9.4092,45.064,فندق المدينه
459,Riviere-Pilote,MQ,78.12,14.4775,-60.9035,Hôtel le Paradis de l'Anse
462,Grand Gaube,MU,73.38,-20.0064,57.6608,Coco Villa
464,Altamira,BR,76.44,-3.2033,-52.2064,Hotel Vale do Xingu
470,Kismayo,SO,78.89,-0.3582,42.5454,Kismayo Hotel
474,Manakara,MG,71.11,-22.1333,48.0167,Hotel H1
482,Port Blair,IN,79.72,11.6667,92.75,Andaman Ocean Breeze
483,Lazaro Cardenas,MX,85.6,17.9583,-102.2,Hotel Sol del Pacífico
490,Touros,BR,79.25,-5.1989,-35.4608,Pousada Atlântico
492,Odienne,CI,78.08,9.51,-7.5692,Hotel Frontière
498,Angoche,MZ,77.05,-16.2325,39.9086,Hotel Quirimbas
503,Ikom,NG,75.6,5.9667,8.7063,Gold Palm Hotels
508,Kalabo,ZM,71.02,-14.97,22.6814,Golden Lodge Luxury Acomodation
509,Mahajanga,MG,80.62,-15.7167,46.3167,Vahiny Hotel
510,Le Vauclin,MQ,78.85,14.5452,-60.8388,Hôtel Macabou
511,Champerico,GT,82.9,14.3,-91.9167,Hotel y Restaurante El Submarino
512,San Juan,AR,82.31,-31.5375,-68.5364,Hotel San Francisco
514,Luganville,VU,85.35,-15.5333,167.1667,Beachfront Resort
518,Atambua,ID,73.71,-9.1061,124.8925,Hotel Matahari
527,Tonantins,BR,78.58,-2.8731,-67.8022,Red Davi
528,Port-Gentil,GA,80.56,-0.7193,8.7815,Tara-Mé
543,Cayenne,GF,80.64,4.9333,-52.3333,Central Hôtel
546,West Bay,KY,84.27,19.3667,-81.4167,Bonnie's Arch
549,Pangai,TO,80.35,-19.8,-174.35,Billy's Place
558,Takoradi,GH,79.38,4.8845,-1.7554,Hillcrest
560,The Valley,AI,80.46,18.217,-63.0578,CeBlue
564,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
568,Salinopolis,BR,80.83,-0.6136,-47.3561,Hotel Salinópolis
574,Hambantota,LK,73.74,6.1241,81.1185,Oasis Aurweda Resort Hambathota
581,Labuan,MY,78.87,5.2767,115.2417,Labuan Avenue Hotel
582,Moron,AR,74.95,-34.6534,-58.6198,La Esquina
583,Puerto Baquerizo Moreno,EC,70.79,-0.9,-89.6,Dory's House
586,Porto Nacional,BR,80.6,-10.7081,-48.4172,Aliança
597,Sinnamary,GF,78.24,5.3833,-52.95,Hôtel du fleuve
600,Florianopolis,BR,73.62,-27.6146,-48.5012,Pousada Caminho da Lagoa
601,Port Hedland,AU,80.65,-20.3167,118.5667,The Esplanade Hotel
605,Mananara,MG,73.26,-16.1667,49.7667,Chez Roger
606,Rincon De Romos,MX,72.88,22.2333,-102.3,Hotel Isabel
608,Palora,EC,73.51,-1.7,-77.9333,Hotel Sol De Oriente
613,Fare,PF,80.26,-16.7,-151.0167,hôtel Maitai Lapita Village
614,Pedasi,PA,80.06,7.5333,-80.0333,Dim's Hostal
616,Machali,CL,78.08,-34.1833,-70.6667,Hotel Boutique Il Giardino
622,Makakilo City,US,82.72,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
626,Inongo,CD,71.38,-1.95,18.2667,Chez LELE IYOLO
627,Ranong,TH,76.71,9.9658,98.6348,Rattana Sin Hotel
639,Bubaque,GW,81.68,11.2833,-15.8333,Chez Julio
640,Tabou,CI,78.69,4.423,-7.3528,hôtel le rochet
647,Rocha,UY,73.85,-34.4833,-54.3333,Hotel Municipal
655,Cockburn Town,TC,80.4,21.4612,-71.1419,The Salt Raker Inn
658,Santa Maria,BR,87.1,-29.6842,-53.8069,Hotel Morotin
662,Ibotirama,BR,72.86,-12.1853,-43.2206,Glória Palace Hotel
668,Santa Catarina De Tepehuanes,MX,75.25,25.35,-105.7333,Hotel Plaza
673,Sabak,MY,72.93,3.7675,100.9875,Zamita Resort
680,Sao Gabriel Da Cachoeira,BR,76.91,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
